"","id","playername","entry","event"
"6",191,"Mohamed Salah",20683,1
"7",191,"Mohamed Salah",20683,2
"26",214,"Raheem Sterling",20683,3
"23",214,"Raheem Sterling",20683,4
"24",214,"Raheem Sterling",20683,5
"32",215,"Kevin De Bruyne",20683,6
"12",191,"Mohamed Salah",20683,7
"1",11,"Pierre-Emerick Aubameyang",20683,8
"28",214,"Raheem Sterling",20683,9
"29",215,"Kevin De Bruyne",20683,10
"25",214,"Raheem Sterling",20683,11
"36",460,"Tammy Abraham",20683,12
"21",192,"Sadio Mané",20683,13
"18",192,"Sadio Mané",20683,14
"4",166,"Jamie Vardy",20683,15
"5",166,"Jamie Vardy",20683,16
"3",166,"Jamie Vardy",20683,17
"33",233,"Marcus Rashford",20683,18
"34",344,"Bamidele Alli",20683,19
"31",215,"Kevin De Bruyne",20683,20
"19",192,"Sadio Mané",20683,21
"2",166,"Jamie Vardy",20683,22
"30",215,"Kevin De Bruyne",20683,23
"20",192,"Sadio Mané",20683,24
"9",191,"Mohamed Salah",20683,25
"17",191,"Mohamed Salah",20683,26
"15",191,"Mohamed Salah",20683,27
"16",191,"Mohamed Salah",20683,28
"8",191,"Mohamed Salah",20683,29
"22",210,"Sergio Agüero",20683,39
"10",191,"Mohamed Salah",20683,40
"35",409,"Raúl Jiménez",20683,41
"13",191,"Mohamed Salah",20683,42
"38",618,"Bruno Miguel Borges Fernandes",20683,43
"14",191,"Mohamed Salah",20683,44
"11",191,"Mohamed Salah",20683,45
"37",618,"Bruno Miguel Borges Fernandes",20683,46
"27",214,"Raheem Sterling",20683,47
"151",191,"Mohamed Salah",68916,1
"161",191,"Mohamed Salah",68916,2
"311",338,"Harry Kane",68916,3
"261",214,"Raheem Sterling",68916,4
"241",214,"Raheem Sterling",68916,5
"271",215,"Kevin De Bruyne",68916,6
"171",191,"Mohamed Salah",68916,7
"41",11,"Pierre-Emerick Aubameyang",68916,8
"110",11,"Pierre-Emerick Aubameyang",68916,9
"61",166,"Jamie Vardy",68916,10
"81",166,"Jamie Vardy",68916,11
"291",239,"Anthony Martial",68916,12
"111",166,"Jamie Vardy",68916,13
"71",166,"Jamie Vardy",68916,14
"131",166,"Jamie Vardy",68916,15
"141",166,"Jamie Vardy",68916,16
"221",192,"Sadio Mané",68916,17
"281",233,"Marcus Rashford",68916,18
"371",460,"Tammy Abraham",68916,19
"321",338,"Harry Kane",68916,20
"301",338,"Harry Kane",68916,21
"91",166,"Jamie Vardy",68916,22
"101",166,"Jamie Vardy",68916,23
"211",192,"Sadio Mané",68916,24
"181",191,"Mohamed Salah",68916,25
"191",191,"Mohamed Salah",68916,26
"331",409,"Raúl Jiménez",68916,27
"201",191,"Mohamed Salah",68916,28
"210",11,"Pierre-Emerick Aubameyang",68916,29
"39",11,"Pierre-Emerick Aubameyang",68916,39
"361",409,"Raúl Jiménez",68916,40
"341",409,"Raúl Jiménez",68916,41
"351",409,"Raúl Jiménez",68916,42
"381",618,"Bruno Miguel Borges Fernandes",68916,43
"121",166,"Jamie Vardy",68916,44
"51",113,"Willian Borges Da Silva",68916,45
"231",211,"Gabriel Fernando de Jesus",68916,46
"251",214,"Raheem Sterling",68916,47
"112",191,"Mohamed Salah",669110,1
"232",210,"Sergio Agüero",669110,2
"312",233,"Marcus Rashford",669110,3
"142",191,"Mohamed Salah",669110,4
"152",191,"Mohamed Salah",669110,5
"162",191,"Mohamed Salah",669110,6
"262",210,"Sergio Agüero",669110,7
"242",210,"Sergio Agüero",669110,8
"362",460,"Tammy Abraham",669110,9
"42",166,"Jamie Vardy",669110,10
"352",460,"Tammy Abraham",669110,11
"72",166,"Jamie Vardy",669110,12
"212",192,"Sadio Mané",669110,13
"102",166,"Jamie Vardy",669110,14
"62",166,"Jamie Vardy",669110,15
"272",211,"Gabriel Fernando de Jesus",669110,16
"82",166,"Jamie Vardy",669110,17
"332",342,"Heung-Min Son",669110,18
"372",460,"Tammy Abraham",669110,19
"302",215,"Kevin De Bruyne",669110,20
"292",215,"Kevin De Bruyne",669110,21
"222",192,"Sadio Mané",669110,22
"92",166,"Jamie Vardy",669110,23
"202",192,"Sadio Mané",669110,24
"172",191,"Mohamed Salah",669110,25
"182",191,"Mohamed Salah",669110,26
"192",191,"Mohamed Salah",669110,27
"122",191,"Mohamed Salah",669110,28
"213",11,"Pierre-Emerick Aubameyang",669110,29
"252",210,"Sergio Agüero",669110,39
"342",409,"Raúl Jiménez",669110,40
"113",11,"Pierre-Emerick Aubameyang",669110,41
"132",191,"Mohamed Salah",669110,42
"322",234,"Mason Greenwood",669110,43
"52",166,"Jamie Vardy",669110,44
"310",113,"Willian Borges Da Silva",669110,45
"382",618,"Bruno Miguel Borges Fernandes",669110,46
"282",214,"Raheem Sterling",669110,47
