"","id","playername","entry","event"
"6",191,"Mohamed Salah",20683,1
"7",191,"Mohamed Salah",20683,2
"26",214,"Raheem Sterling",20683,3
"23",214,"Raheem Sterling",20683,4
"24",214,"Raheem Sterling",20683,5
"32",215,"Kevin De Bruyne",20683,6
"12",191,"Mohamed Salah",20683,7
"1",11,"Pierre-Emerick Aubameyang",20683,8
"28",214,"Raheem Sterling",20683,9
"29",215,"Kevin De Bruyne",20683,10
"25",214,"Raheem Sterling",20683,11
"36",460,"Tammy Abraham",20683,12
"21",192,"Sadio Mané",20683,13
"18",192,"Sadio Mané",20683,14
"4",166,"Jamie Vardy",20683,15
"5",166,"Jamie Vardy",20683,16
"3",166,"Jamie Vardy",20683,17
"33",233,"Marcus Rashford",20683,18
"34",344,"Bamidele Alli",20683,19
"31",215,"Kevin De Bruyne",20683,20
"19",192,"Sadio Mané",20683,21
"2",166,"Jamie Vardy",20683,22
"30",215,"Kevin De Bruyne",20683,23
"20",192,"Sadio Mané",20683,24
"9",191,"Mohamed Salah",20683,25
"17",191,"Mohamed Salah",20683,26
"15",191,"Mohamed Salah",20683,27
"16",191,"Mohamed Salah",20683,28
"8",191,"Mohamed Salah",20683,29
"22",210,"Sergio Agüero",20683,39
"10",191,"Mohamed Salah",20683,40
"35",409,"Raúl Jiménez",20683,41
"13",191,"Mohamed Salah",20683,42
"38",618,"Bruno Miguel Borges Fernandes",20683,43
"14",191,"Mohamed Salah",20683,44
"11",191,"Mohamed Salah",20683,45
"37",618,"Bruno Miguel Borges Fernandes",20683,46
"27",214,"Raheem Sterling",20683,47
"91",191,"Mohamed Salah",19490,1
"101",191,"Mohamed Salah",19490,2
"361",338,"Harry Kane",19490,3
"181",214,"Raheem Sterling",19490,4
"111",192,"Sadio Mané",19490,5
"241",215,"Kevin De Bruyne",19490,6
"141",192,"Sadio Mané",19490,7
"211",214,"Raheem Sterling",19490,8
"210",67,"Callum Wilson",19490,9
"191",214,"Raheem Sterling",19490,10
"201",214,"Raheem Sterling",19490,11
"81",166,"Jamie Vardy",19490,12
"51",166,"Jamie Vardy",19490,13
"39",166,"Jamie Vardy",19490,14
"71",166,"Jamie Vardy",19490,15
"41",166,"Jamie Vardy",19490,16
"61",166,"Jamie Vardy",19490,17
"261",215,"Kevin De Bruyne",19490,18
"301",233,"Marcus Rashford",19490,19
"281",215,"Kevin De Bruyne",19490,20
"121",192,"Sadio Mané",19490,21
"341",233,"Marcus Rashford",19490,22
"271",215,"Kevin De Bruyne",19490,23
"161",192,"Sadio Mané",19490,24
"251",215,"Kevin De Bruyne",19490,25
"171",210,"Sergio Agüero",19490,26
"131",192,"Sadio Mané",19490,27
