"","Var1","Freq"
"1","Aaron Cresswell",1
"2","Aaron Ramsdale",1
"3","Antonio Rüdiger",1
"4","Ben Foster",1
"5","Benjamin Chilwell",2
"6","Bernardo Mota Veiga de Carvalho e Silva",2
"7","Bruno Miguel Borges Fernandes",30
"8","Bukayo Saka",3
"9","Cristiano Ronaldo dos Santos Aveiro",76
"10","Danny Ings",1
"11","Diogo Jota",7
"12","Ederson Santana de Moraes",6
"13","Emmanuel Dennis",4
"14","Gabriel Fernando de Jesus",2
"15","Harry Kane",70
"16","Harvey Barnes",1
"17","Heung-Min Son",30
"18","Jacob Ramsey",1
"19","James Maddison",3
"20","James Ward-Prowse",1
"21","Jamie Vardy",16
"22","Jarrod Bowen",5
"23","João Pedro Cavaco Cancelo",9
"24","Joshua King",1
"25","Kai Havertz",3
"26","Kevin De Bruyne",14
"27","Luis Díaz",1
"28","Mason Mount",11
"29","Matthew Cash",1
"30","Michail Antonio",23
"31","Mohamed Salah",319
"32","Ollie Watkins",1
"33","Patrick Bamford",1
"34","Philippe Coutinho Correia",3
"35","Pierre-Emerick Aubameyang",1
"36","Raheem Sterling",1
"37","Raphael Dias Belloli",2
"38","Richarlison de Andrade",3
"39","Romelu Lukaku",13
"40","Saïd Benrahma",1
"41","Timo Werner",2
"42","Trent Alexander-Arnold",3
"43","Wilfried Zaha",1
"44","Wout Weghorst",6
